CALLSIGN,DBA,DOMAIN_ROOT,BENEFICIAL_OWNERS
ellipsis-labs,Ellipsis Labs,ellipsislabs.xyz,"[
  ""Eugene Chen"",
  ""Jarry Xiao""
]"
erebor-group,Erebor,erebor.so,"[
  ""Trevor Capozza"",
  ""Palmer Luckey""
]"
exec-holdings,Exec,exec.com,"[
  ""Sean Linehan"",
  ""Nicholas deWilde""
]"
expanded-works,"Replicate, Inc",replicate.com,"[
  ""Ben Firshman""
]"
explore-interfaces-inc,Explore Interfaces Inc.,exploreinterfaces.com,"[
  ""Joseph Semrai""
]"
faura,Faura,faura.us,"[
  ""Valkyrie Holmes"",
  ""Amanda Southworth""
]"
fiveonefour-inc,Fiveonefour Labs Inc,fiveonefour.com,"[
  ""Timote Gelinas Delisle"",
  ""Nicolas Joseph""
]"
fliff,Fliff Inc.,getfliff.com,"[
  ""Matt Ricci""
]"
flipper,Flipper Devices Inc.,flipperzero.one,"[
  ""Pavlo Zhovner"",
  ""Alexander Kulagin""
]"
flyio,Fly.io,fly.io,"[
  ""Kurt Mackey""
]"
forever-spring-partners-i-lp,"FOREVER SPRING PARTNERS I, L.P.",,"[
  ""Thomas Liu"",
  ""Zhe Wang""
]"
fractal-memories-inc,Antistatic Studios Inc.,antistaticstudios.net,"[
  ""Krzysztof Teper""
]"
freedinc,Freed,getfreed.ai,"[
  ""Erez Druk"",
  ""Andrey Bannikov""
]"
freewill,FreeWill,freewill.com,"[
  ""Jennifer Spradling"",
  ""Patrick Schmitt""
]"
gadl,Golden Age Dev Lab PTE. LTD.,gadl.xyz,"[
  ""Brandon Timinsky"",
  ""Sebastian Scholl""
]"
gc-ai,GC AI,getgc.ai,"[
  ""Cecilia Ziniti""
]"
general-reasoning,General Reasoning,gr.inc,"[
  ""Ross James Taylor"",
  ""Chengxi Wang""
]"
genia-design,"Genia Engineering, Inc",,"[
  ""Shibo Li"",
  ""Zhihao Zhao""
]"
genway,Genway Inc,genway.ai,"[
  ""Gal Dayan"",
  ""Omri Ben Shoham"",
  ""Natan Voitenkov""
]"
giga,"Giga Energy, Inc.",gigaenergy.com,"[
  ""Scott Pickering"",
  ""Matthew Lohstroh"",
  ""Brent Whitehead""
]"
gmrd,Gumroad,gumroad.com,"[
  ""Sahil Lavingia""
]"
goteam5,SuperFocus,goteam5.com,"[
  ""Stephen Hsu"",
  ""Tushar Sheth""
]"
greatquestion,"Great Question, Inc",greatquestion.co,"[
  ""Edwin Dwyer"",
  ""Peter Murray""
]"
greenly-usa-inc,Greenly USA Inc.,greenly.earth/en-us,"[
  ""Matthieu Vegreville"",
  ""Alexis Normand""
]"
hawcx,Hawcx,,"[
  ""Ravindraraj Ramaraju"",
  ""Sri Soundarya Kottur Shanmugam"",
  ""Selvanathan Kumaraswamy""
]"
hicavalry,"Hi Cavalry, Inc.",hicavalry.com,"[
  ""Caren Maio""
]"
hopskip,Hopskip,myhopskip.com,"[
  ""Sean Whalin"",
  ""Gregory Leizerowicz""
]"
hotglue,"hotglue, Inc.",hotglue.xyz,"[
  ""David Molot"",
  ""Hassan Syyid""
]"
houseventure,HouseVenture Inc.,,"[
  ""Michael Chang"",
  ""Adrian Delgado""
]"
humacao-rng-llc,Humacao RNG LLC,,"[
  ""Brian Kalt"",
  ""Carlos Penzini Granier""
]"
ic-deposits-development-ltd,I.C. DEPOSITS DEVELOPMENT LTD,depositis.co.il,"[
  ""Israel Chekroun""
]"
infinite-monkey,Ndea Inc,infinitemonkey.com,"[
  ""Michael Knoop"",
  ""François Chollet""
]"
ingredientai,IngredientAI,linkedin.com/in/shahaa,"[
  ""Akash Shah"",
  ""Gordon Su""
]"
int18,Voltage Park,voltagepark.com,"[
  ""Ozan Kaya""
]"
irl-studios-inc,IRL Studios Inc.,twitter.com/gymclassvr,"[
  ""Justin Hubert"",
  ""Paul Katsen""
]"
jiga3d,Jiga,jiga.io,"[
  ""Yonatan Wolowelsky"",
  ""Assaf Geuz"",
  ""Adar Hay""
]"
junelark,San Francisco Compute Company,junelark.com,"[
  ""Evan Conrad"",
  ""Alexander Gajewski""
]"
juniper-sol,"Juniper Solutions, Inc.",juniperplatform.com,"[
  ""Christophe Rimann"",
  ""Celina Qi"",
  ""Nathan Lee""
]"
kepler-inc,Kepler Inc,twitter.com/kepler_data,"[
  ""Samuel Bhagwat""
]"
kickstreaming,Kick,kick.com,"[
  ""Edward J M Craven"",
  ""Brais Pena Sanchez"",
  ""Bijan Tehrani""
]"
lablabee-inc,Lablabee Inc.,lablabee.com,"[
  ""Samir Tahraoui"",
  ""Mahfoud SIDI ALI MEBAREK""
]"
limit-break-inc,Limit Break Inc.,,"[
  ""Gabriel Leydon""
]"
liquid-intelligence-labs,Tzafon inc,liquidintelligencelabs.com,"[
  ""Josef Noah Daniel Löfquist""
]"
lmnt,LMNT,lmnt.com,"[
  ""Sharvil Nanavati""
]"
loti-ai-inc,"Loti AI, Inc.",goloti.com,"[
  ""Nichol Preciado-Youngs"",
  ""Luke Arrigoni""
]"
lovable-labs-incorporated,Lovable Labs Incorporated,linkedin.com/in/antonosika/?originalsubdomain=se,"[
  ""Anton Osika"",
  ""Fabian Hedin""
]"
luma-ai,Luma AI,lumalabs.ai,"[
  ""Amit Jain""
]"
lumaril,Lumaril,lumaril.com,"[
  ""Mark Elliot"",
  ""Benjamin Duffield""
]"
macrocycle-technologies,MacroCycle Technologies,macrocycle.tech,"[
  ""Jan-Georg Rosenboom"",
  ""Stwart Pena Feliz""
]"
magicaltoys,Magical Toys,magicaltoys.com,"[
  ""Fateen Anam Rafid""
]"
